index, Source Airport IDs, Destination Airport ID
339,6727,5506
340,6727,62
341,6727,5520
342,6727,154
343,111,80
344,111,146
345,5499,5481
346,5499,7253
347,5529,5496
348,5529,5515
349,6728,5508
350,6728,154
351,5515,5496
352,5515,5520
353,5515,5529
354,146,62
355,146,5496
356,146,111
357,146,149
358,149,5496
359,149,146
360,154,5512
361,154,5496
362,154,5481
363,154,80
364,154,5520
365,154,5508
366,154,6727
367,154,6728
368,7253,5499
369,7253,5535
370,161,80
371,161,202
372,5535,5504
373,5535,7253
374,202,80
375,202,161
376,4119,2188
377,4119,2072
378,4119,5687
379,5687,4059
380,4059,5687
381,3885,3316
382,3999,3316
383,4120,3316
384,3386,3316
385,3077,3316
386,3179,3316
387,3992,2397
388,3992,2276
389,3304,3316
390,2397,3992
391,2397,3316
392,3308,3316
393,3351,3316
394,3034,3316
395,3035,3316
396,3239,3316
397,3205,3316
398,3316,3885
399,3316,3999
400,3316,4120
401,3316,3386
402,3316,3077
403,3316,3179
404,3316,3304
405,3316,2397
406,3316,3308
407,3316,3351
408,3316,3034
409,3316,3035
410,3316,3239
411,3316,3205
412,3316,4302
413,3316,2276
414,4302,3316
415,2276,3992
416,2276,3316
417,1679,1558
418,338,1678
419,345,382
420,1558,1679
421,1558,382
422,1558,346
423,1558,1678
424,382,345
425,382,1558
426,382,342
427,382,1520
428,382,351
429,382,1209
430,3986,1561
431,1609,1678
432,342,382
433,346,1558
434,1561,3986
435,1520,382
436,1612,1678
437,351,382
438,1209,382
439,1678,338
440,1678,1558
441,1678,1609
442,1678,1612
443,3682,6958
444,3682,3754
445,3682,4335
446,3682,5756
447,3682,5759
448,3682,5773
449,1937,3533
450,1943,3533
451,1943,3722
452,3875,3533
453,3875,3793
454,3875,3646
455,3533,1937
456,3533,1943
457,3533,3875
458,3533,1948
459,3533,1941
460,3533,1944
461,3533,3878
462,3533,1930
463,3533,1934
464,3533,3646
465,1948,3533
466,1941,3533
467,1941,1944
468,1944,3533
469,6130,5773
470,3472,3878
471,3472,3646
472,3712,1930
473,3712,3646
474,6958,3682
475,3754,3682
476,3754,3878
477,3878,3533
478,3878,3472
479,3878,3754
480,3878,1930
481,3878,3564
482,3878,3793
483,3878,3698
484,4335,3682
485,1930,3533
486,1930,3712
487,1930,3878
488,1930,3722
489,5756,3682
490,3722,1943
491,3722,1930
492,3722,3646
493,5759,3682
494,3564,3878
495,3564,3646
496,3793,3875
497,3793,3878
498,1934,3533
499,3698,3878
500,3698,3646
501,3646,3875
502,3646,3533
503,3646,3472
504,3646,3712
505,3646,3722
506,3646,3564
507,3646,3698
508,5773,3682
509,5773,6130
510,580,5673
511,580,1080
512,1218,1074
513,1218,5673
514,1218,1080
515,1525,1074
516,1538,1074
517,302,1074
518,302,5673
519,302,1080
520,344,5673
521,1074,1218
522,1074,1525
523,1074,1538
524,1074,302
525,1074,1534
526,1074,502
527,1074,1335
528,1074,1359
529,1074,4317
530,1074,1273
531,1074,1539
532,1534,1074
533,1066,1359
534,502,1074
535,502,1080
536,1335,1074
537,1359,1074
538,1359,1066
539,1359,5673
540,5673,580
541,5673,1218
542,5673,302
543,5673,344
544,5673,1359
545,5673,3998
546,3998,5673
547,4317,1074
548,1273,1074
549,1080,580
550,1080,1218
551,1080,302
552,1080,502
553,1539,1074
554,2895,2844
555,2895,2848
556,2896,2897
557,2897,2895
558,2844,2895
559,2848,2895
560,2966,4029
561,2966,2948
562,2980,4029
563,4029,2966
564,4029,2980
565,4029,6156
566,4029,6149
567,4029,6153
568,4029,6150
569,4029,6485
570,4029,2981
571,4029,1743
572,6156,4029
573,6149,4029
574,6153,4029
575,2948,2966
576,6150,4029
577,6485,4029
578,2981,4029
579,1743,4029
580,2874,2881
581,2774,2878
582,2897,1762
583,2877,2881
584,2877,2899
585,2878,2774
586,2878,2881
587,2878,1762
588,2878,2893
589,2881,2874
590,2881,2877
591,2881,2878
592,2881,6460
593,2881,1762
594,2881,2879
595,2881,2899
596,6460,2881
597,1762,2881
598,1762,2899
599,2879,2881
600,2893,2878
601,2899,2877
602,2899,2881
603,2899,1762
604,6351,3379
605,3370,3393
